Operation,Total Time,Average Time
extensible.SVG(),1267,1267
extensible.SVG.begin(),152,76
extensible.SVG.getProgressIncrements(),49,24.5
extensible.SVG._getTimeline(),102,51
extensible.SVG._getShape() >> 1,463,66.14285714285714
extensible.Contour.getEdges(),69,3.8333333333333335
HalfEdge getEdge.,34,0.07472527472527472
HalfEdge getNext.,35,0.07692307692307693
extensible.Array.is,21,0.05483028720626632
extensible.SVG._getContour(),374,28.76923076923077
extensible.Contour.getControlPoints() >> Point Lookup,154,14
Edge getControl.,5,0.056179775280898875
Extensible.Shape.getCubicSegmentPoints(),97,0.7293233082706767
extensible.Contour.getControlPoints() >> Order Check,173,15.727272727272727
extensible.SVG._getFill(),4,0.3333333333333333
extensible.SVG._getCurve(),7,0.5833333333333334
extensible.Fill.is(),0,0
