Operation,Total Time,Average Time
extensible.SVG(),1759,1759
extensible.SVG.begin(),95,47.5
extensible.SVG.getProgressIncrements(),9,3
extensible.SVG._getTimeline(),94,31.333333333333332
extensible.SVG._getShape() >> 1,895,149.16666666666666
extensible.Contour.getEdges(),58,2.761904761904762
HalfEdge getEdge.,36,0.06405693950177936
HalfEdge getNext.,37,0.06583629893238434
extensible.Array.is,18,0.031413612565445025
extensible.SVG._getContour(),812,36.90909090909091
extensible.Contour.getControlPoints() >> Point Lookup,492,35.142857142857146
Edge getControl.,2,0.03389830508474576
Extensible.Shape.getCubicSegmentPoints(),183,0.905940594059406
extensible.Contour.getControlPoints() >> Order Check,231,16.5
extensible.SVG._getFill(),5,0.23809523809523808
extensible.SVG._getCurve(),20,0.9523809523809523
extensible.Fill.is(),0,0
extensible.SVG._getSymbolInstance(),20,10
