Operation,Total Time,Average Time
extensible.SVG(),592,592
extensible.SVG.begin(),135,67.5
extensible.SVG.getProgressIncrements(),11,2.2
extensible.SVG._getTimeline(),132,33
extensible.SVG._getShape() >> 1,239,21.727272727272727
extensible.Contour.getEdges(),38,1.1176470588235294
HalfEdge getEdge.,20,0.03663003663003663
HalfEdge getNext.,19,0.0347985347985348
extensible.Array.is,7,0.017241379310344827
extensible.SVG._getContour(),185,6.166666666666667
extensible.Contour.getControlPoints() >> Point Lookup,75,3.5714285714285716
Extensible.Shape.getCubicSegmentPoints(),32,0.3595505617977528
Edge getControl.,10,0.0425531914893617
extensible.Contour.getControlPoints() >> Order Check,68,3.238095238095238
extensible.SVG._getFill(),5,0.17857142857142858
extensible.SVG._getCurve(),5,0.17857142857142858
extensible.Fill.is(),1,0.05263157894736842
extensible.SVG._getSymbolInstance(),14,4.666666666666667
