Operation,Total Time,Average Time
extensible.SVG(),407,407
extensible.SVG.begin(),68,34
extensible.SVG.getProgressIncrements(),11,2.2
extensible.SVG._getTimeline(),66,16.5
extensible.SVG._getShape() >> 1,223,31.857142857142858
extensible.Contour.getEdges(),33,1.2692307692307692
HalfEdge getEdge.,18,0.03614457831325301
HalfEdge getNext.,12,0.024096385542168676
extensible.Array.is,6,0.016574585635359115
extensible.SVG._getContour(),177,6.8076923076923075
extensible.Contour.getControlPoints() >> Point Lookup,78,4.588235294117647
Extensible.Shape.getCubicSegmentPoints(),37,0.4157303370786517
Edge getControl.,3,0.014778325123152709
extensible.Contour.getControlPoints() >> Order Check,63,3.7058823529411766
extensible.SVG._getFill(),5,0.20833333333333334
extensible.SVG._getCurve(),5,0.20833333333333334
extensible.Fill.is(),0,0
extensible.SVG._getSymbolInstance(),15,5
