Operation,Total Time,Average Time
extensible.SVG(),2179,2179
extensible.SVG.begin(),333,166.5
extensible.SVG.getProgressIncrements(),23,11.5
extensible.SVG._getTimeline(),308,154
extensible.SVG._getShape() >> 1,1240,95.38461538461539
extensible.Contour.getEdges(),170,2.8333333333333335
HalfEdge getEdge.,72,0.05405405405405406
HalfEdge getNext.,73,0.054804804804804805
extensible.Array.is,18,0.019128586609989374
extensible.SVG._getContour(),991,20.224489795918366
extensible.Contour.getControlPoints() >> Point Lookup,497,15.53125
Extensible.Shape.getCubicSegmentPoints(),235,0.7121212121212122
Edge getControl.,28,0.10294117647058823
extensible.Contour.getControlPoints() >> Order Check,327,10.21875
extensible.SVG._getFill(),18,0.375
extensible.SVG._getCurve(),29,0.6041666666666666
extensible.Fill.is(),0,0
