Operation,Total Time,Average Time
extensible.SVG(),643,643
extensible.SVG.begin(),67,33.5
extensible.SVG.getProgressIncrements(),25,12.5
extensible.SVG._getTimeline(),41,20.5
extensible.SVG._getShape() >> 1,181,36.2
extensible.Contour.getEdges(),19,2.111111111111111
HalfEdge getEdge.,12,0.05309734513274336
HalfEdge getNext.,6,0.02654867256637168
extensible.Array.is,6,0.03296703296703297
extensible.SVG._getContour(),158,31.6
extensible.Contour.getControlPoints() >> Point Lookup,69,13.8
Edge getControl.,3,0.12
Extensible.Shape.getCubicSegmentPoints(),41,0.6212121212121212
extensible.Contour.getControlPoints() >> Order Check,72,14.4
extensible.SVG._getFill(),1,0.2
extensible.SVG._getCurve(),3,0.6
