Operation,Total Time,Average Time
extensible.SVG(),185,185
extensible.SVG.begin(),24,12
extensible.SVG.getProgressIncrements(),5,2.5
extensible.SVG._getTimeline(),19,9.5
extensible.SVG._getShape() >> 1,126,31.5
extensible.Contour.getEdges(),15,1.1538461538461537
HalfEdge getEdge.,12,0.04597701149425287
HalfEdge getNext.,6,0.022988505747126436
extensible.Array.is,2,0.007272727272727273
extensible.SVG._getContour(),103,8.583333333333334
extensible.Contour.getControlPoints() >> Point Lookup,47,5.222222222222222
Edge getControl.,0,0
Extensible.Shape.getCubicSegmentPoints(),24,0.2727272727272727
extensible.Contour.getControlPoints() >> Order Check,39,4.333333333333333
extensible.SVG._getFill(),2,0.18181818181818182
extensible.SVG._getCurve(),3,0.2727272727272727
extensible.Fill.is(),0,0
